visa_type,applicant_country,processing_office,submission_month,processing_days
Work,Germany,Berlin,2,48
Student,Brazil,Tokyo,10,39
Tourist,Brazil,Mumbai,8,45
Business,India,Tokyo,6,30
Student,Germany,SaoPaulo,6,39
Work,Nepal,Berlin,11,35
Student,Nigeria,Mumbai,2,28
Work,Japan,Berlin,9,50
Business,Germany,SaoPaulo,3,51
Business,Nigeria,Delhi,2,33
Tourist,Japan,SaoPaulo,7,37
Work,Nepal,Berlin,12,53
Business,Japan,SaoPaulo,9,58
Work,Nigeria,Tokyo,10,39
Tourist,Brazil,Tokyo,9,50
Tourist,Nepal,SaoPaulo,10,52
Tourist,Germany,Delhi,7,37
Tourist,Japan,Berlin,2,32
Business,Germany,Delhi,11,36
Business,India,Mumbai,6,48
Work,Brazil,Delhi,7,54
Work,Germany,Tokyo,5,48
Business,Brazil,Tokyo,3,31
Student,Germany,Tokyo,12,45
Student,Germany,Delhi,10,37
